id,nome_imagem,latitude,longitude,timestamp,order,trip_id,percentageMato,Lados
6847,ladybug_Panoramic_000000_66377_058-1600.jpg,-11.325381666666667,-55.327619497222220,1721758283,0,14,"87,1387616307092",ambos
6848,ladybug_Panoramic_000001_66378_058-3199.jpg,-11.325381666666667,-55.327619497222220,1721758283,1,14,"7,04972265621636",ambos
6849,ladybug_Panoramic_000002_66379_058-4800.jpg,-11.325381666666667,-55.327619497222220,1721758284,2,14,"90,3141758782537",ambos
6850,ladybug_Panoramic_000003_66380_058-6399.jpg,-11.325381666666667,-55.327619330555560,1721758284,3,14,"4,67443348544553",ambos
6851,ladybug_Panoramic_000004_66381_059-0000.jpg,-11.325381666666667,-55.327619330555560,1721758284,4,14,"72,8646654881188",ambos
6852,ladybug_Panoramic_000005_66382_059-1599.jpg,-11.325381666666667,-55.327619330555560,1721758284,5,14,"26,7891016244619",ambos
6853,ladybug_Panoramic_000006_66383_059-3199.jpg,-11.325381666666667,-55.327619497222220,1721758284,6,14,"13,7921418771142",ambos
6854,ladybug_Panoramic_000007_66384_059-4800.jpg,-11.325381666666667,-55.327619330555560,1721758285,7,14,"86,2335851590247",ambos
6855,ladybug_Panoramic_000008_66385_059-6400.jpg,-11.325381666666667,-55.327619330555560,1721758285,8,14,"40,9662361336038",ambos
6856,ladybug_Panoramic_000009_66386_059-7999.jpg,-11.325381666666667,-55.327619330555560,1721758285,9,14,"77,8291829140373",ambos
6857,ladybug_Panoramic_000010_66387_060-1599.jpg,-11.325381666666667,-55.327619330555560,1721758285,10,14,"61,2553607118807",ambos
6858,ladybug_Panoramic_000011_66388_060-3200.jpg,-11.325381666666667,-55.327619330555560,1721758285,11,14,"84,4223341968873",ambos
6859,ladybug_Panoramic_000012_66389_060-4799.jpg,-11.325381666666667,-55.327619330555560,1721758286,12,14,"15,9105611282265",ambos
6860,ladybug_Panoramic_000013_66390_060-6400.jpg,-11.325381666666667,-55.327619330555560,1721758286,13,14,"73,6448658923368",ambos
6861,ladybug_Panoramic_000014_66391_060-7999.jpg,-11.325381666666667,-55.327619330555560,1721758286,14,14,"57,8668502833854",ambos
6862,ladybug_Panoramic_000015_66392_061-1599.jpg,-11.325381666666667,-55.327619330555560,1721758286,15,14,"66,3944361064864",ambos
6863,ladybug_Panoramic_000016_66393_061-3200.jpg,-11.325381666666667,-55.327619330555560,1721758286,16,14,"88,7870469201204",ambos
6864,ladybug_Panoramic_000017_66394_061-4800.jpg,-11.325381666666667,-55.327619330555560,1721758287,17,14,"27,7445530502629",ambos
6865,ladybug_Panoramic_000018_66395_061-6400.jpg,-11.325381666666667,-55.327619330555560,1721758287,18,14,"78,5853806803432",ambos
6866,ladybug_Panoramic_000019_66396_062-0000.jpg,-11.325381666666667,-55.327619330555560,1721758287,19,14,"44,3106266159549",ambos
6867,ladybug_Panoramic_000020_66397_062-1599.jpg,-11.325381666666667,-55.327619330555560,1721758287,20,14,"34,5156969648818",ambos
6868,ladybug_Panoramic_000021_66398_062-3199.jpg,-11.325381666666667,-55.327619330555560,1721758287,21,14,"1,76414788566591",ambos
6869,ladybug_Panoramic_000022_66399_062-4800.jpg,-11.325381666666667,-55.327619330555560,1721758288,22,14,"30,6043164623784",ambos
6870,ladybug_Panoramic_000023_66400_062-6399.jpg,-11.325381666666667,-55.327619330555560,1721758288,23,14,"38,6895528660328",ambos
6871,ladybug_Panoramic_000024_66401_063-0000.jpg,-11.325381666666667,-55.327619330555560,1721758288,24,14,"45,5162039259383",ambos
6872,ladybug_Panoramic_000025_66402_063-1600.jpg,-11.325381666666667,-55.327619330555560,1721758288,25,14,"63,044195860525",ambos
6873,ladybug_Panoramic_000026_66403_063-3199.jpg,-11.325381666666667,-55.327619330555560,1721758288,26,14,"57,489776686675",ambos
6874,ladybug_Panoramic_000027_66404_063-4800.jpg,-11.325381666666667,-55.327619330555560,1721758289,27,14,"55,8119349287082",ambos
6875,ladybug_Panoramic_000028_66405_063-6400.jpg,-11.325381666666667,-55.327619330555560,1721758289,28,14,"66,8667549701136",ambos
6876,ladybug_Panoramic_000029_66406_063-7999.jpg,-11.325381666666667,-55.327619330555560,1721758289,29,14,"77,9388938037613",ambos
6877,ladybug_Panoramic_000030_66407_064-1599.jpg,-11.325381666666667,-55.327619330555560,1721758289,30,14,"34,6473592611949",ambos
6878,ladybug_Panoramic_000031_66408_064-3200.jpg,-11.325381666666667,-55.327619330555560,1721758289,31,14,"31,9540202153796",ambos
6879,ladybug_Panoramic_000032_66409_064-4800.jpg,-11.325381666666667,-55.327619330555560,1721758290,32,14,"40,3045286192559",ambos
6880,ladybug_Panoramic_000033_66410_064-6399.jpg,-11.325381666666667,-55.327619330555560,1721758290,33,14,"28,1777879687922",ambos
6881,ladybug_Panoramic_000034_66411_065-0000.jpg,-11.325381666666667,-55.327619330555560,1721758290,34,14,"75,7790722628872",ambos
6882,ladybug_Panoramic_000035_66412_065-1599.jpg,-11.325381666666667,-55.327619330555560,1721758290,35,14,"28,3438471901623",ambos
6883,ladybug_Panoramic_000036_66413_065-3199.jpg,-11.325381666666667,-55.327619330555560,1721758290,36,14,"20,4361949204573",ambos
6884,ladybug_Panoramic_000037_66414_065-4800.jpg,-11.325381666666667,-55.327619330555560,1721758291,37,14,"59,6023370501702",ambos
6885,ladybug_Panoramic_000038_66415_065-6400.jpg,-11.325381499999999,-55.327619330555560,1721758291,38,14,"54,0374898472794",ambos
6886,ladybug_Panoramic_000039_66416_065-7999.jpg,-11.325381499999999,-55.327619330555560,1721758291,39,14,"39,4012975580012",ambos
6887,ladybug_Panoramic_000040_66417_066-1600.jpg,-11.325381499999999,-55.327619330555560,1721758291,40,14,"98,3539766275198",ambos
